X,NDX,AAPL,MSFT,NVDA,AMZN,GOOG
11/27/19,8444.709961,66.501213,151.117905,217.944855,1818.51001,1312.98999
11/29/19,8403.679688,66.354729,150.185318,216.446884,1800.800049,1304.959961
12/2/19,8309.259766,65.587517,148.369766,208.966995,1781.599976,1289.920044
12/3/19,8254.740234,64.418091,148.131653,207.379166,1769.959961,1295.280029
12/4/19,8296.530273,64.986664,148.667389,209.136765,1760.689941,1320.540039
12/5/19,8308.400391,65.940086,148.74675,208.457687,1740.47998,1328.130005
12/6/19,8397.370117,67.213799,150.552383,211.883057,1751.599976,1340.619995
12/9/19,8362.740234,66.272789,150.165482,211.883057,1749.51001,1343.560059
12/10/19,8354.290039,66.660126,149.937302,213.690613,1739.209961,1344.660034
12/11/19,8402.610352,67.228699,150.502777,217.046066,1748.719971,1345.02002
12/12/19,8466.889648,67.400017,152.03064,223.766983,1760.329956,1350.27002
12/13/19,8487.709961,68.316193,153.310455,223.687073,1760.939941,1347.829956
12/16/19,8570.330078,69.485619,154.302551,224.84549,1769.209961,1361.170044
12/17/19,8575.700195,69.622192,153.469193,227.981232,1790.660034,1355.119995
12/18/19,8580.620117,69.455833,153.151733,229.199585,1784.030029,1352.619995
12/19/19,8641.290039,69.525352,154.481155,235.141556,1792.280029,1356.040039
12/20/19,8678.490234,69.381348,156.16774,239.046265,1786.5,1349.589966
12/23/19,8696.009766,70.513535,156.16774,238.497025,1793,1348.839966
12/24/19,8699.509766,70.580566,156.137955,238.297287,1789.209961,1343.560059
12/26/19,8778.30957,71.980911,157.417786,238.866516,1868.77002,1360.400024
12/27/19,8770.980469,71.953598,157.705505,236.549637,1869.800049,1351.890015
12/30/19,8709.730469,72.380653,156.346298,232.005798,1846.890015,1336.140015
